,Date,Time,Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s),Temperature (K),Pressure (Pa),Roughness_length (m)
6283,2018-09-25,11:00:00,3043.91334826724,33.1593704223632,2728.14599609375,10.4547004699707,284.5,100716.0,0.15
6284,2018-09-25,12:00:00,3348.99405291882,30.1727409362792,3176.998046875,11.2341403961181,284.39,100727.0,0.15
6285,2018-09-25,13:00:00,3600.0,40.97945022583,3559.98999023437,13.472229957580499,284.27,100711.0,0.15
6286,2018-09-25,14:00:00,3587.5542825900798,33.749889373779205,3373.01611328125,12.62975025177,284.17,100682.0,0.15
6287,2018-09-25,15:00:00,3470.3901596805,42.002891540527294,3194.55200195312,11.714449882507301,284.01,100663.0,0.15
6288,2018-09-25,16:00:00,3451.6106009914697,40.45121002197261,3222.61010742187,11.626870155334403,283.85,100649.0,0.15
6289,2018-09-25,17:00:00,3600.0,39.696189880371,3580.48901367187,13.7461700439453,283.79,100632.0,0.15
6290,2018-09-25,18:00:00,3104.3851695738103,43.439380645751896,2973.44091796875,10.5828599929809,283.78,100626.0,0.15
6291,2018-09-25,19:00:00,3582.7681899094896,43.3545799255371,3536.42700195312,12.5513296127319,283.63,100637.0,0.15
6292,2018-09-25,20:00:00,3596.9534327466795,45.4686317443847,3484.04296875,12.891869544982901,283.38,100676.0,0.15
6293,2018-09-25,21:00:00,3571.5717007564795,51.269981384277294,3452.28295898437,12.4076404571533,283.03,100715.0,0.15
6294,2018-09-25,22:00:00,3600.0,49.3049087524414,3597.19409179687,14.167160034179599,282.81,100734.0,0.15
6295,2018-09-25,23:00:00,3600.0,44.85409927368161,3602.06689453125,14.8210697174072,283.38,100743.0,0.15
6296,2018-09-26,00:00:00,3600.0,47.43659973144529,3601.4130859375,14.5850400924682,284.69,100744.0,0.15
6297,2018-09-26,01:00:00,3600.0,53.2649803161621,3568.92504882812,13.056870460510199,286.1,100730.0,0.15
6298,2018-09-26,02:00:00,3600.0,44.31715011596671,3600.5830078125,15.8235902786254,287.54,100695.0,0.15
6299,2018-09-26,03:00:00,3600.0,45.5195007324218,3600.7529296875,15.446040153503402,288.56,100654.0,0.15
6300,2018-09-26,04:00:00,3600.0,39.9039001464843,3591.89794921875,14.448510169982901,289.45,100616.0,0.15
6301,2018-09-26,05:00:00,3600.0,49.5345497131347,3595.14892578125,13.813050270080499,290.09,100575.0,0.15
6302,2018-09-26,06:00:00,3600.0,36.5211601257324,3501.51489257812,14.246089935302699,290.49,100540.0,0.15
6303,2018-09-26,07:00:00,3600.0,40.6600799560546,3580.962890625,13.0191497802734,290.48,100516.0,0.15
6304,2018-09-26,08:00:00,3600.0,50.009239196777294,3595.291015625,14.7920198440551,290.02,100533.0,0.15
6305,2018-09-26,09:00:00,3600.0,46.8863182067871,3601.23706054687,13.7615804672241,288.77,100569.0,0.15
6306,2018-09-26,10:00:00,3586.7664065167896,38.6824417114257,3568.86791992187,12.615730285644501,287.48,100605.0,0.15
6307,2018-09-26,11:00:00,3600.0,41.5990982055664,3600.69311523437,13.6016998291015,286.79,100640.0,0.15
6308,2018-09-26,12:00:00,3600.0,45.09141159057611,3601.958984375,14.9490804672241,285.94,100667.0,0.15
6309,2018-09-26,13:00:00,3600.0,39.8855209350585,3601.60009765625,15.9593601226806,285.33,100680.0,0.15
6310,2018-09-26,14:00:00,3600.0,43.400779724121,3601.35791015625,13.9129199981689,285.4,100668.0,0.15
6311,2018-09-26,15:00:00,3600.0,40.6938896179199,3598.98999023437,15.244299888610804,285.11,100667.0,0.15
6312,2018-09-26,16:00:00,3600.0,50.778980255126896,3601.623046875,15.220620155334403,284.73,100665.0,0.15
6313,2018-09-26,17:00:00,3600.0,41.118911743164,3589.24194335937,13.9568700790405,284.92,100681.0,0.15
6314,2018-09-26,18:00:00,3600.0,56.53662109375,3600.96801757812,17.258470535278303,284.9,100741.0,0.15
6315,2018-09-26,19:00:00,3600.0,56.490940093994105,3601.05590820312,17.8286399841308,284.47,100799.0,0.15
6316,2018-09-26,20:00:00,3600.0,55.319240570068295,3601.19409179687,17.810110092163,284.34,100862.0,0.15
6317,2018-09-26,21:00:00,3600.0,51.058910369873,3600.26611328125,17.2984104156494,284.28,100912.0,0.15
6318,2018-09-26,22:00:00,3600.0,48.7803192138671,3569.125,13.593170166015598,284.47,100956.0,0.15
6319,2018-09-26,23:00:00,3600.0,49.8360595703125,3598.32690429687,13.1495304107666,285.53,100979.0,0.15
6320,2018-09-27,00:00:00,3600.0,49.3544616699218,3598.81201171875,13.3557701110839,286.48,100986.0,0.15
6321,2018-09-27,01:00:00,3600.0,52.420139312744105,3601.68090820312,14.960940361022901,287.49,101004.0,0.15
6322,2018-09-27,02:00:00,3600.0,47.57371139526361,3598.169921875,14.2317304611206,287.78,101017.0,0.15
6323,2018-09-27,03:00:00,3600.0,45.269680023193295,3600.80810546875,13.963749885559,287.81,101039.0,0.15
6324,2018-09-27,04:00:00,3600.0,46.1904983520507,3600.5810546875,14.4170904159545,287.99,101058.0,0.15
6325,2018-09-27,05:00:00,3600.0,55.5290603637695,3594.80688476562,15.004280090332001,288.16,101063.0,0.15
6326,2018-09-27,06:00:00,3600.0,62.358409881591705,3601.75,15.937379837036099,289.11,101061.0,0.15
6327,2018-09-27,07:00:00,3600.0,55.7293701171875,3598.27294921875,13.5752201080322,289.54,101066.0,0.15
6328,2018-09-27,08:00:00,3600.0,59.7082405090332,3596.50610351562,13.2853097915649,289.22,101098.0,0.15
