,Date,Time,Temperature (K),Wind_speed (m/s),Pressure (Pa),Roughness_length (m)
165,2018-01-07,22:00:00,264.16,6.00355,100434.0,0.15
166,2018-01-07,23:00:00,264.49,5.34047,100497.0,0.15
167,2018-01-07,00:00:00,264.9,5.34388,100557.0,0.15
168,2018-01-08,01:00:00,265.24,4.571359999999999,100617.0,0.15
169,2018-01-08,02:00:00,265.31,3.8363099999999997,100670.0,0.15
170,2018-01-08,03:00:00,265.36,3.815946,100745.0,0.15
171,2018-01-08,04:00:00,265.27,3.91434,100773.0,0.15
172,2018-01-08,05:00:00,265.23,4.7202,100819.0,0.15
173,2018-01-08,06:00:00,265.11,5.37716,100846.0,0.15
174,2018-01-08,07:00:00,265.1,5.91641,100854.0,0.15
175,2018-01-08,08:00:00,265.13,5.8205599999999995,100873.0,0.15
176,2018-01-08,09:00:00,265.13,6.51218,100862.0,0.15
177,2018-01-08,10:00:00,265.36,7.044989999999999,100857.0,0.15
178,2018-01-08,11:00:00,265.75,6.7854,100856.0,0.15
179,2018-01-08,12:00:00,266.19,8.1234,100849.0,0.15
180,2018-01-08,13:00:00,266.55,8.37208,100829.0,0.15
181,2018-01-08,14:00:00,266.66,8.45171,100802.0,0.15
182,2018-01-08,15:00:00,266.57,8.86537,100794.0,0.15
183,2018-01-08,16:00:00,266.26,8.78082,100769.0,0.15
184,2018-01-08,17:00:00,265.87,8.44089,100727.0,0.15
185,2018-01-08,18:00:00,265.6,8.56829,100682.0,0.15
186,2018-01-08,19:00:00,265.3,8.963,100639.0,0.15
187,2018-01-08,20:00:00,265.11,9.017510000000001,100593.0,0.15
188,2018-01-08,21:00:00,264.91,8.81345,100560.0,0.15
189,2018-01-08,22:00:00,264.83,9.49387,100524.0,0.15
190,2018-01-08,23:00:00,264.78,9.452910000000001,100457.0,0.15
191,2018-01-08,00:00:00,264.82,9.78074,100403.0,0.15
192,2018-01-09,01:00:00,264.92,10.270660000000001,100360.0,0.15
193,2018-01-09,02:00:00,265.06,10.52224,100322.0,0.15
194,2018-01-09,03:00:00,265.3,11.2621,100290.0,0.15
195,2018-01-09,04:00:00,265.65,11.52747,100229.0,0.15
196,2018-01-09,05:00:00,266.19,11.897110000000001,100175.0,0.15
197,2018-01-09,06:00:00,266.7,11.71753,100140.0,0.15
198,2018-01-09,07:00:00,267.05,12.45088,100120.0,0.15
199,2018-01-09,08:00:00,267.28,11.890839999999999,100077.0,0.15
200,2018-01-09,09:00:00,267.41,11.758519999999999,100007.0,0.15
201,2018-01-09,10:00:00,267.56,11.5981,99974.4,0.15
202,2018-01-09,11:00:00,267.63,11.40281,99939.0,0.15
203,2018-01-09,12:00:00,267.57,10.875760000000001,99885.2,0.15
204,2018-01-09,13:00:00,267.64,10.93137,99825.8,0.15
